ID,Name,Team,Position,Availability,Selection,EA_Index,Price
257,David de Gea,Man Utd,Goalkeeper,100,22.2,424,5.8
258,Anders Lindegaard,Man Utd,Goalkeeper,,0.1,0,4.8
259,Chris Smalling,Man Utd,Defender,100,1.9,340,5.3
260,Phil Jones,Man Utd,Defender,100,2.5,258,5.0
261,Rafael Pereira da Silva,Man Utd,Defender,100,0.5,89,5.1
262,Patrice Evra,Man Utd,Defender,0,0.1,0,5.5
263,Jonny Evans,Man Utd,Defender,100,0.3,172,5.0
264,Guillermo Varela,Man Utd,Defender,0,0.0,0,4.3
265,Michael Keane,Burnley,Defender,100,0.1,157,4.2
266,Luke Shaw,Man Utd,Defender,100,2.5,135,5.7
267,Juan Mata,Man Utd,Midfielder,100,10.5,495,8.5
268,Marouane Fellaini,Man Utd,Midfielder,0,2.0,433,6.4
269,Antonio Valencia,Man Utd,Midfielder,100,0.7,468,5.7
270,Luis Nani,Man Utd,Midfielder,0,0.6,5,7.0
271,Anderson Oliveira,Man Utd,Midfielder,,0.0,3,4.7
272,Michael Carrick,Man Utd,Midfielder,100,0.1,293,5.4
273,Darren Fletcher,West Brom,Midfielder,,0.5,208,4.5
274,Tom Cleverley,Aston Villa,Midfielder,100,1.2,344,5.3
275,Ashley Young,Man Utd,Midfielder,100,2.9,397,5.1
276,Nick Powell,Man Utd,Midfielder,100,0.0,-6,4.4
277,Shinji Kagawa,Man Utd,Midfielder,0,0.2,0,6.3
278,Jesse Lingard,Man Utd,Midfielder,0,0.1,2,4.3
279,Adnan Januzaj,Man Utd,Midfielder,100,1.1,105,6.1
280,Wilfried Zaha,Crystal Palace,Midfielder,100,0.9,383,5.1
281,Ander Herrera,Man Utd,Midfielder,100,3.1,393,7.2
282,Robin van Persie,Man Utd,Forward,100,2.0,482,12.0
283,Javier Hernández,Man Utd,Forward,0,0.3,3,5.9
284,Wayne Rooney,Man Utd,Forward,100,15.5,637,10.6
285,Danny Welbeck,Arsenal,Forward,0,4.5,380,6.9
286,James Wilson,Man Utd,Forward,100,0.3,74,4.3
287,Tom Lawrence,Leicester,Forward,,0.1,-2,4.3
288,Tim Krul,Newcastle,Goalkeeper,100,12.8,277,4.4
289,Robert Elliot,Newcastle,Goalkeeper,100,2.4,20,4.0
290,Michael Williamson,Newcastle,Defender,100,0.5,222,4.3
291,Steven Taylor,Newcastle,Defender,100,2.9,95,3.8
292,Fabricio Coloccini,Newcastle,Defender,100,3.3,292,4.5
293,Ryan Taylor,Newcastle,Defender,100,0.1,111,4.4
294,Davide Santon,Newcastle,Defender,0,0.1,0,4.3
295,Mathieu Debuchy,Arsenal,Defender,0,4.0,147,5.2
296,Mapou Yanga-Mbiwa,Newcastle,Defender,0,0.1,0,4.4
297,Massadio Haidara,Newcastle,Defender,100,0.4,135,4.1
298,Paul Dummett,Newcastle,Defender,100,4.7,201,4.1
299,Lubomir Satka,Newcastle,Defender,,0.2,0,3.9
300,Gabriel Obertan,Newcastle,Midfielder,100,0.2,95,4.3
301,Cheick Tioté,Newcastle,Midfielder,100,1.1,113,4.3
302,Hatem Ben Arfa,Newcastle,Midfielder,0,0.5,33,5.5
303,Shane Ferguson,Newcastle,Midfielder,100,0.0,0,4.5
304,Mehdi Abeid,Newcastle,Midfielder,100,0.0,64,4.3
305,Sylvain Marveaux,Newcastle,Midfielder,0,0.0,0,4.5
306,Gael Bigirimana,Newcastle,Midfielder,0,0.0,0,4.4
307,Vurnon Anita,Newcastle,Midfielder,100,0.1,104,4.7
308,Moussa Sissoko,Newcastle,Midfielder,100,1.8,454,5.8
309,Jack Colback,Newcastle,Midfielder,100,2.9,439,4.7
310,Jonás Gutiérrez,Newcastle,Midfielder,100,0.3,98,4.2
311,Yoan Gouffran,Newcastle,Midfielder,100,0.5,260,6.0
312,Sammy Ameobi,Newcastle,Midfielder,100,2.4,233,4.2
313,Siem de Jong,Newcastle,Midfielder,100,0.4,27,6.8
314,Papiss Demba Cissé,Newcastle,Forward,100,0.9,343,5.2
315,Adam Campbell,Newcastle,Forward,100,0.1,0,4.4
316,Adam Armstrong,Newcastle,Forward,100,0.2,18,4.3
317,Ayoze Pérez Gutiérrez,Newcastle,Forward,,1.8,385,4.3
318,Robert Green,QPR,Goalkeeper,100,2.5,325,4.5
319,Brian Murphy,QPR,Goalkeeper,,1.8,0,3.9
320,Richard Dunne,QPR,Defender,100,0.2,224,4.2
321,Clint Hill,QPR,Defender,100,0.1,151,4.2
322,Nedum Onuoha,QPR,Defender,100,0.1,163,4.3
323,Suk-Young Yun,QPR,Defender,100,1.7,164,3.9
324,Danny Simpson,Leicester,Defender,100,0.2,99,4.1
325,Armand Traore,QPR,Midfielder,100,0.3,68,4.3
326,Alejandro Faurlin,QPR,Midfielder,100,0.1,7,4.2
327,Karl Henry,QPR,Midfielder,,0.2,183,4.4
328,Joey Barton,QPR,Midfielder,100,0.2,325,4.8
329,Jermaine Jenas,QPR,Midfielder,,0.2,0,4.4
330,Gary O'Neil,QPR,Midfielder,,0.0,0,4.4
331,Junior Hoilett,QPR,Midfielder,,0.2,50,4.3
332,Shaun Wright-Phillips,QPR,Midfielder,,0.2,22,4.5
333,Matthew Phillips,QPR,Midfielder,,0.9,252,4.6
334,Adel Taarabt,QPR,Midfielder,100,0.1,17,5.3
335,Loïc Remy,Chelsea,Forward,100,2.1,237,6.9
336,Bobby Zamora,QPR,Forward,100,3.1,198,4.1
337,Charlie Austin,QPR,Forward,100,16.5,769,6.1
338,Paulo Gazzaniga,Southampton,Goalkeeper,,0.1,18,4.3
339,Artur Boruc,Southampton,Goalkeeper,0,0.2,0,4.7
340,Jos Hooiveld,Southampton,Defender,0,0.2,0,4.0
341,Jose Fonte,Southampton,Defender,100,13.4,409,5.8
342,Nathaniel Clyne,Southampton,Defender,100,32.5,442,5.9
343,Maya Yoshida,Southampton,Defender,100,2.3,211,4.1
344,Dejan Lovren,Liverpool,Defender,100,9.9,195,4.9
345,Calum Chambers,Arsenal,Defender,100,6.5,234,4.5
346,Jack Stephens,Southampton,Defender,,0.2,0,3.9
347,Matt Targett,Southampton,Defender,100,0.4,28,3.9
348,Jack Cork,Swansea,Midfielder,100,1.8,290,4.3
349,Morgan Schneiderlin,Southampton,Midfielder,100,5.6,396,5.5
350,Steven Davis,Southampton,Midfielder,100,1.7,344,4.7
351,James Ward-Prowse,Southampton,Midfielder,100,1.1,302,4.8
352,Gastón Ramírez,Hull,Midfielder,100,0.1,151,5.4
353,Victor Wanyama,Southampton,Midfielder,100,3.9,324,4.6
354,Lloyd Isgrove,Southampton,Midfielder,100,0.5,1,4.2
355,Harrison Reed,Southampton,Midfielder,,0.1,63,4.3
356,Dusan Tadic,Southampton,Midfielder,100,3.6,499,7.4
357,Billy Sharp,Southampton,Forward,0,0.0,0,4.5
358,Jay Rodriguez,Southampton,Forward,0,0.1,0,7.3
359,Emmanuel Mayuka,Southampton,Forward,100,0.0,4,4.7
360,Pablo Osvaldo,Southampton,Forward,0,0.0,0,7.0
361,Sam Gallagher,Southampton,Forward,100,0.0,0,4.7
362,Graziano Pellè,Southampton,Forward,100,11.5,548,7.5
363,Brad Friedel,Spurs,Goalkeeper,,0.1,0,4.7
364,Hugo Lloris,Spurs,Goalkeeper,100,8.9,389,5.4
